lfp;k5;k618;age;wc;hc;lwg;inc
0;0;3;39;0;0;.8532125;28.363
0;0;0;60;0;0;1.224974;24.984
0;0;0;43;0;0;.8881401;9.952
0;2;3;31;0;0;1.15804;10
0;0;2;40;1;1;1.082864;28.2
0;0;2;36;0;0;.8895015;5.33
0;1;2;32;0;0;.6063456;6.8
0;2;6;39;0;0;.9773824;7.84
0;0;3;42;0;0;.9991057;26
0;0;1;53;0;0;1.144734;23.426
0;0;1;48;0;1;.9330035;21.62
0;0;1;44;0;0;.9764099;40.5
0;1;1;31;0;1;1.124639;4
0;0;0;48;0;0;.9022743;31.106
0;1;2;31;1;1;1.253338;45.25
0;0;0;43;0;0;.9425184;11.895
0;0;0;51;0;0;1.27124;8.117
0;1;1;31;0;1;1.011257;14
0;0;2;43;1;1;1.081467;28.069
0;0;0;31;0;1;1.117239;18
0;0;1;53;0;0;1.316978;17.505
0;2;0;30;0;1;1.044315;12.1
0;0;1;41;0;1;1.122694;63.5
0;1;1;30;1;1;1.066524;26.04
0;0;2;45;0;0;1.068403;88
0;0;3;41;0;1;1.069181;77
0;0;0;58;1;1;1.142411;22.2
0;0;0;59;0;0;.8024642;22.422
0;0;2;49;0;0;.2441965;6.531
0;0;2;41;0;0;1.218628;12.4
0;0;1;48;1;1;1.490523;28.9
0;1;3;32;0;1;.9448364;47.5
0;0;3;38;0;1;1.009895;21.943
0;0;7;34;0;0;.7013521;7.232
0;0;0;48;0;0;.3129436;14.4
0;0;3;40;0;0;.8706985;19
0;0;3;47;1;1;1.219497;19
0;0;0;47;0;0;.8275221;12.646
0;3;0;31;1;1;1.295966;51.2
0;0;1;54;0;1;.7747441;16.15
0;0;3;47;0;0;.8518656;28.2
0;0;0;51;0;0;1.027063;7.608
0;1;1;30;0;1;.9097289;24.35
0;1;3;35;0;0;.7927328;6
0;0;2;32;0;1;.9448364;22.995
0;0;1;42;1;1;1.214075;24.106
0;0;0;56;0;0;.7886484;10.55
0;1;1;31;0;0;.6473786;7.72
0;1;1;34;0;0;1.069798;30.3
0;0;0;53;0;0;1.251342;9.56
0;1;1;43;1;1;1.279399;27.85
0;0;1;51;0;0;1.005331;10.876
0;0;1;51;0;0;1.007367;21.014
0;0;0;54;0;0;1.120166;35
0;1;3;47;1;1;1.755882;19.73
0;0;2;43;0;0;1.22828;14.55
0;0;1;48;1;1;1.526319;22.3
0;1;3;33;0;1;.7931218;15
0;0;2;43;0;1;1.122305;29.8
0;0;1;32;1;1;1.150608;22
0;0;0;42;0;0;.5532817;10
0;0;0;55;1;0;1.646665;13
0;1;2;41;0;1;1.228669;16.51
0;0;2;42;0;0;.5358103;15.825
0;1;1;48;0;0;.4588832;14.06
0;0;0;49;0;0;.7900099;15
0;0;0;54;1;1;1.269254;20
0;1;2;36;0;0;.8895015;17.64
0;0;0;51;0;0;1.007367;21.9
0;0;2;31;0;0;.7792174;12.916
0;0;2;41;1;1;1.254533;51
0;1;3;37;0;1;.8064445;17.41
0;0;4;42;0;0;.5540951;7.5
0;0;0;50;1;1;1.731246;63.2
0;0;1;37;0;0;1.015402;34
0;0;5;38;1;1;.8978252;28.2
0;0;0;58;0;0;.3109987;37.7
0;0;0;50;0;0;.7898154;11.225
0;1;2;41;1;1;1.043181;27
0;1;0;48;0;0;1.159844;20.968
0;0;2;43;0;0;1.016928;27.092
0;0;1;48;1;1;1.342965;31.5
0;0;3;30;0;0;.7794119;12
0;0;2;50;0;1;.9530044;30.3
0;0;1;37;0;0;.6321109;27
0;0;1;47;0;0;.8306625;18.2
0;0;0;47;0;0;1.217461;7.044
0;0;0;55;0;0;1.039452;13.072
0;0;2;36;0;0;.9234089;37.752
0;1;2;32;0;0;.7790229;7.286
0;0;0;55;0;1;1.12027;29
0;1;1;30;1;1;1.401837;25.7
0;0;0;60;1;1;1.247697;55.6
0;1;2;45;0;0;.7503316;10.09
0;0;0;47;0;0;1.06697;13.35
0;0;1;51;0;0;.6942927;10.66
0;1;3;41;1;1;.9483608;30.8
0;0;0;58;0;0;1.263575;15.5
0;1;3;35;0;0;.9087565;24
0;0;4;36;0;1;.9779658;24.4
0;0;2;47;0;0;.869337;24.466
0;1;1;30;0;1;.9791328;22
